#####################################################################
Date              Source file name                   Target file name

2025/05/23        DXS702V300R001C007                 s702_firmware.bin
2025/05/27        DXS702V300C004                     s702_firmware.bin (S+L-firmwareXM)
2025/06/13        DXS702V300C005                     s702_firmware.bin (S+L-firmwareXM)
2025/07/06        DXS702V300C007                     s702_firmware.bin (S+L-firmwareXM)
2025/07/21        DXS702V300C008                     s702_firmware.bin (S+L-firmwareXM)
2025/08/08        DXS702V300C009                     s702_firmware.bin (S+L-firmwareXM)
2025/08/15        DXS702V300C0010                    s702_firmware.bin (S+L-firmwareXM)
2025/08/20        DXS702V300C0011                    s702_firmware.bin (S+L-firmwareXM)
2025/09/01        DXS702V300C0012                    s702_firmware.bin (S+L-firmwareXM)
2025/09/08        DXS702V300C0014                    s702_firmware.bin (S+L-firmwareXM)
2025/09/10        DXS702V300C0015                    s702_firmware.bin (S+L-firmwareXM)
2025/09/16        DXS702V300C0017                    s702_firmware.bin (S+L-firmwareXM)
2025/09/19        DXS702V300R001C020                 s702_firmware.bin (S+L-firmwareXM)
2025/09/25        DXS702V300R001C021                 s702_firmware.bin (S+L-firmwareXM)
2025/10/11        DXS702V300R001C022                 s702_firmware.bin (S+L-firmwareXM)
2025/10/18        DXS702V300R001C023                 s702_firmware.bin (S+L-firmwareXM)
2025/10/23        DXS702V300R001C024                 s702_firmware.bin (S+L-firmwareXM)
2025/10/30        DXS702V300R001C025                 s702_firmware.bin (S+L-firmwareXM)
2025/11/06        DXS702V300R001C026                 s702_firmware.bin (S+L-firmwareXM)
2025/11/09        DXS702V300R001C027                 s702_firmware.bin (S+L-firmwareXM)
2025/11/18        DXS702V300R001C028                 s702_firmware.bin (S+L-firmwareXM)
2025/11/20        DXS702V300R001C029                 s702_firmware.bin (S+L-firmwareXM)
2025/11/27        DXS702V300R001C031                 s702_firmware.bin (S+L-firmwareXM)
2025/12/17        DXS702V300R001C033                 s702_firmware.bin (S+L-firmwareXM)
